observation_date,WANAN,WVNAN,WINAN,WYNAN
1976-12-01,1320.6,603.8,1768.6,157.0
1977-01-01,1292.2,584.7,1722.1,153.0
1977-02-01,1301.7,579.1,1718.6,153.7
1977-03-01,1319.9,595.9,1730.1,156.2
1977-04-01,1347.7,613.7,1760.1,159.4
1977-05-01,1360.3,625.1,1798.9,167.1
1977-06-01,1387.1,630.9,1829.9,177.4
1977-07-01,1367.4,629.7,1812.1,180.0
1977-08-01,1384.9,614.9,1830.2,182.8
1977-09-01,1415.5,634.8,1844.9,183.9
1977-10-01,1399.3,630.2,1847.1,180.2
1977-11-01,1403.3,629.0,1849.4,176.9
1977-12-01,1423.9,570.3,1843.1,176.7
1978-01-01,1401.9,551.9,1797.7,173.5
1978-02-01,1418.4,545.6,1804.4,174.3
1978-03-01,1444.8,558.4,1825.1,177.5
1978-04-01,1463.7,640.4,1850.0,180.1
1978-05-01,1486.3,651.6,1877.4,185.3
1978-06-01,1516.7,659.9,1912.9,194.3
1978-07-01,1493.5,664.1,1904.9,194.5
1978-08-01,1497.2,653.0,1918.5,197.1
1978-09-01,1510.0,660.2,1933.0,197.3
1978-10-01,1528.4,671.3,1940.6,193.2
1978-11-01,1531.2,672.3,1942.2,191.8
1978-12-01,1532.9,668.3,1937.2,190.2
1979-01-01,1496.7,636.9,1873.1,185.7
1979-02-01,1510.0,632.3,1893.5,187.5
1979-03-01,1540.7,645.6,1908.0,190.6
1979-04-01,1562.4,654.9,1936.6,192.8
1979-05-01,1584.5,663.1,1963.6,199.0
1979-06-01,1618.5,663.8,1994.5,208.2
1979-07-01,1582.6,667.4,1970.6,207.3
1979-08-01,1595.7,666.6,1977.4,207.9
1979-09-01,1619.5,675.8,1994.6,211.6
1979-10-01,1625.5,667.0,2008.6,207.9
1979-11-01,1620.9,666.1,2005.0,204.9
1979-12-01,1617.4,663.1,1997.0,205.0
1980-01-01,1576.8,639.1,1925.7,198.6
1980-02-01,1590.1,635.7,1932.0,198.3
1980-03-01,1602.4,642.2,1931.7,200.8
1980-04-01,1609.7,646.8,1934.9,202.6
1980-05-01,1618.0,652.3,1935.2,208.4
1980-06-01,1626.0,652.3,1947.6,215.7
1980-07-01,1592.9,649.9,1924.8,213.6
1980-08-01,1600.1,640.2,1938.9,216.6
1980-09-01,1621.8,648.2,1948.3,221.3
1980-10-01,1623.3,649.8,1946.8,218.1
1980-11-01,1619.6,647.0,1949.7,214.7
1980-12-01,1619.3,646.7,1941.7,213.4
1981-01-01,1590.3,625.2,1888.7,209.3
1981-02-01,1591.6,624.9,1884.1,208.5
1981-03-01,1607.1,630.2,1884.0,211.2
1981-04-01,1621.7,585.3,1917.2,214.8
1981-05-01,1633.7,585.7,1932.8,222.0
1981-06-01,1652.3,628.0,1945.9,232.4
1981-07-01,1612.2,650.9,1937.1,231.0
1981-08-01,1613.1,642.1,1944.8,234.2
1981-09-01,1631.0,648.0,1955.6,236.2
1981-10-01,1611.3,643.9,1943.5,230.6
1981-11-01,1593.8,640.5,1929.4,226.6
1981-12-01,1585.5,637.3,1915.8,224.6
1982-01-01,1556.8,611.5,1850.7,215.8
1982-02-01,1554.4,607.2,1846.9,214.9
1982-03-01,1567.8,611.7,1848.2,215.5
1982-04-01,1573.8,612.7,1854.8,217.0
1982-05-01,1576.7,615.9,1881.0,221.6
1982-06-01,1594.5,613.4,1896.3,226.9
1982-07-01,1560.6,614.8,1876.9,222.0
1982-08-01,1558.8,612.9,1880.3,222.1
1982-09-01,1581.6,604.3,1889.2,223.0
1982-10-01,1571.5,602.0,1872.7,215.8
1982-11-01,1564.1,595.7,1857.5,211.5
1982-12-01,1562.6,591.9,1846.4,206.0
1983-01-01,1525.3,569.7,1790.7,200.7
1983-02-01,1528.8,561.9,1792.5,198.0
1983-03-01,1544.3,566.7,1800.6,198.5
1983-04-01,1568.9,573.3,1832.1,193.5
1983-05-01,1581.2,579.8,1868.3,198.6
1983-06-01,1610.7,582.0,1895.2,206.3
1983-07-01,1581.4,589.8,1888.7,204.3
1983-08-01,1582.0,595.8,1885.1,206.8
1983-09-01,1622.6,591.8,1915.6,212.1
1983-10-01,1633.6,592.1,1908.7,206.9
1983-11-01,1627.8,592.6,1915.8,203.3
1983-12-01,1627.6,592.7,1913.8,201.3
1984-01-01,1592.5,578.6,1867.8,194.6
1984-02-01,1605.3,577.7,1872.5,194.5
1984-03-01,1625.8,583.7,1887.2,194.6
1984-04-01,1642.6,590.1,1923.6,196.3
1984-05-01,1660.6,597.9,1950.9,202.0
1984-06-01,1680.8,605.2,1983.9,211.9
1984-07-01,1665.7,608.2,1965.1,212.7
1984-08-01,1678.2,612.2,1977.7,214.5
1984-09-01,1700.1,607.4,2000.6,213.0
1984-10-01,1696.2,601.4,1988.5,209.4
1984-11-01,1688.4,599.0,1991.9,204.8
1984-12-01,1678.5,597.8,1980.2,203.1
1985-01-01,1648.1,581.4,1921.6,195.5
1985-02-01,1649.6,575.5,1914.2,194.5
1985-03-01,1671.3,583.9,1927.6,196.0
1985-04-01,1695.9,593.6,1959.0,198.2
1985-05-01,1712.4,602.9,1996.6,207.9
1985-06-01,1730.5,605.3,2016.2,212.0
1985-07-01,1716.1,606.4,1993.8,217.2
1985-08-01,1732.9,600.8,2002.6,218.8
1985-09-01,1748.0,606.6,2018.5,217.5
1985-10-01,1748.9,603.3,2020.0,212.4
1985-11-01,1738.5,601.3,2016.5,208.1
1985-12-01,1732.9,605.7,2010.7,205.2
1986-01-01,1707.8,583.9,1952.1,199.5
1986-02-01,1714.5,580.5,1956.3,196.6
1986-03-01,1733.5,585.9,1968.0,197.1
1986-04-01,1754.1,593.7,1998.0,197.4
1986-05-01,1772.4,613.1,2028.2,201.7
